ID,DOCUMENT,LABEL
3996,"
							Can't remember email or username
							
						",Account
3997,"
							Premium for family code not working
							
						",Account
3998,"
							Family Plan Doesn't Work
							
						",Account
3999,"
							I don't have access to my music (Xbox one)
							
						",Account
4000,"
							Prepaid credit card problem
							
						",Account
4001,"
							[Troubleshooting] Windows
							
						",TroubleShooting
4002,"
							All tracks unavailable
							
						",TroubleShooting
4003,"
							No Music Plays - Requires a re-install each day
							
						",TroubleShooting
4004,"
							daily mix
							
						",TroubleShooting
4005,"
							Desktop Spotify STOPPED WORKING on Windows 7 ???
							
						",TroubleShooting
4006,"
							Don't launch at startup
							
						",TroubleShooting
4007,"
							[Spotify Bug] Clicking scroll bar loses current so...
							
						",TroubleShooting
4008,"
							Re: Inbox and messages
							
						",TroubleShooting
4009,"
							All sorts of problems(windows 7)
							
						",TroubleShooting
4010,"
							Xbox game bar
							
						",TroubleShooting
4011,"
							Stream Counter is not working
							
						",TroubleShooting
4012,"
							Cannot UNINSTALL Spotify. HELP!
							
						",TroubleShooting
4013,"
							Spotify on pc doesn't work
							
						",TroubleShooting
4014,"
							Want a lightweight Spotify player?
							
						",TroubleShooting
4015,"
							connecting to FB and Twitter
							
						",TroubleShooting
4016,"
							help my please
							
						",TroubleShooting
4017,"
							Spotify preventing Windows from sleep (Legacy Kern...
							
						",TroubleShooting
4018,"
							When I listen to a song on pc, I actually listen t...
							
						",TroubleShooting
4019,"
							Adding Songs That are not on Spotify
							
						",TroubleShooting
4020,"
							Death SD card and storage.
							
						",TroubleShooting
4021,"
							Windows 7 Hata Kodu 17
							
						",TroubleShooting
4022,"
							Stop Spotify Auto-Updating
							
						",TroubleShooting
4023,"
							REQUEST OPTION TO CHANGE THE THEME/APPARENCE
							
						",TroubleShooting
4024,"
							spotify setup wont open
							
						",TroubleShooting
4025,"
							Settings not saving
							
						",TroubleShooting
4026,"
							100% Disk at Startup
							
						",TroubleShooting
4027,"
							Show All results - doesn't show any (even the drop...
							
						",TroubleShooting
4028,"
							Sidewinder X4 Media keys don't work (unless window...
							
						",TroubleShooting
4029,"
							Spotify won't load sometimes
							
						",TroubleShooting
4030,"
							local files playing but no sound
							
						",TroubleShooting
4031,"
							Cortana doesn't play
							
						",TroubleShooting
4032,"
							When a music ends, the next one starts at 30 secon...
							
						",TroubleShooting
4033,"
							Bring back old spotify UI
							
						",TroubleShooting
4034,"
							Tired of necessity to restart HTTP settings every ...
							
						",TroubleShooting
4035,"
							Error Message ""Spotify can't play this right now.""
							
						",TroubleShooting
4036,"
							How do I keep a playlist from ending prematurely?
							
						",TroubleShooting
4037,"
							Deleted playlists still visible on profile.
							
						",TroubleShooting
4038,"
							Local Files being deleted as I add new ones
							
						",TroubleShooting
4039,"
							Playing a podcast episode will play a episode 5 ep...
							
						",TroubleShooting
4040,"
							Scroll bars visible in announcement section
							
						",TroubleShooting
4041,"
							Daily Mix Algorithm question
							
						",TroubleShooting
4042,"
							Plugging headphones in while using the desktop app...
							
						",TroubleShooting
4043,"
							Spotify won't play any imported files on Windows 1...
							
						",TroubleShooting
4044,"
							Window invisible/bugging
							
						",TroubleShooting
4045,"
							Spotify is so laggy and unresponsive
							
						",TroubleShooting
4046,"
							Cannot listen to local files
							
						",TroubleShooting
4047,"
							The end of Spotify App on Desktop platform?!
							
						",TroubleShooting
4048,"
							Keyboard shortcut for Spotify connect volume?
							
						",TroubleShooting
4049,"
							Cannot repeat songs?
							
						",TroubleShooting
4050,"
							""Cant play the current song""
							
						",TroubleShooting
4051,"
							Desktop App Can't Maximize
							
						",TroubleShooting
4052,"
							One album is constantly reappearing in my Play Nex...
							
						",TroubleShooting
4053,"
							Download playlist turns off automatic
							
						",TroubleShooting
4054,"
							changing language to english on desktop /web playe...
							
						",TroubleShooting
4055,"
							Song Radio not working properly
							
						",TroubleShooting
4056,"
							Weird reverb effect happening only on Spotify
							
						",TroubleShooting
4057,"
							Songs Won't Show Up in Desktop Playlist
							
						",TroubleShooting
4058,"
							[Win7] Cannot play any song on PC only
							
						",TroubleShooting
4059,"
							Artists not playing from ""Recently Played""
							
						",TroubleShooting
4060,"
							Favorited songs list is losing songs
							
						",TroubleShooting
4061,"
							music very soft
							
						",TroubleShooting
4062,"
							Inicio lento
							
						",TroubleShooting
4063,"
							Can't log in on desktop
							
						",TroubleShooting
4064,"
							""Save"" Button Missing on Artist Page?
							
						",TroubleShooting
4065,"
							Spotify Windows reproduce solo los primeros 3 minu...
							
						",TroubleShooting
4066,"
							Extremly loud ads
							
						",TroubleShooting
4067,"
							(Error code 13) The installer is unable to install...
							
						",TroubleShooting
4068,"
							D??sactiver d??marrage automatique
							
						",TroubleShooting
4069,"
							Improper version update for Windows 10 app
							
						",TroubleShooting
4070,"
							Clicking the album art of the current song jumps t...
							
						",TroubleShooting
4071,"
							Devices not showing in Connect
							
						",TroubleShooting
4072,"
							Local Files punctuation escaping error in title
							
						",TroubleShooting
4073,"
							Too many ads
							
						",TroubleShooting
4074,"
							Spotify unable to start
							
						",TroubleShooting
4075,"
							Play on same device you pressed play on?
							
						",TroubleShooting
4076,"
							Spotify Suche geht NICHT!!
							
						",TroubleShooting
4077,"
							Find Your Friends
							
						",TroubleShooting
4078,"
							Why I can't download application for windows?
							
						",TroubleShooting
4079,"
							Audio Glitches During Playback
							
						",TroubleShooting
4080,"
							Streaming from desktop app to TV?
							
						",TroubleShooting
4081,"
							[Desktop] it automatically jumps back to Browse
							
						",TroubleShooting
4082,"
							Songs added to my main playlist no longer show pro...
							
						",TroubleShooting
4083,"
							Windows application is a mess
							
						",TroubleShooting
4084,"
							Lost ALL saved songs library
							
						",TroubleShooting
4085,"
							Inaccurate results when searching by genre
							
						",TroubleShooting
4086,"
							No Album or Artist Art Showing
							
						",TroubleShooting
4087,"
							Nuvo player and Spotify
							
						",TroubleShooting
4088,"
							Dislike button has no effect on radio playlist
							
						",TroubleShooting
4089,"
							cant play music on laptop windows 8
							
						",TroubleShooting
4090,"
							Can no longer drag-and-drop from Spotify desktop a...
							
						",TroubleShooting
4091,"
							Spotify deletes duplicate tracks on it's own
							
						",TroubleShooting
4092,"
							Spotify kills my audio device
							
						",TroubleShooting
4093,"
							local files not working at all
							
						",TroubleShooting
4094,"
							Desktop App Volume Resets to 100%
							
						",TroubleShooting
4095,"
							Trojan found in Spotify folder
							
						",TroubleShooting
4096,"
							Local Files
							
						",TroubleShooting
4097,"
							A Windows Store installation of Spotify was found ...
							
						",TroubleShooting
4098,"
							bloquer les mise a jour
							
						",TroubleShooting
4099,"
							no es posible reproducir esto hasta que permite la...
							
						",TroubleShooting
4100,"
							Spotify Windows App on the Fritz
							
						",TroubleShooting
4101,"
							Spotify is randomly pausing music
							
						",TroubleShooting
4102,"
							Sound reduced because by google chrome
							
						",TroubleShooting
4103,"
							Regarding the Premium subscription.
							
						",TroubleShooting
4104,"
							Ads overplaying?
							
						",TroubleShooting
4105,"
							Can't dismiss annoying pop-up banners
							
						",TroubleShooting
4106,"
							Songs being skipped Rapidly
							
						",TroubleShooting
4107,"
							Lokale Daten laden nicht aufs Handy
							
						",TroubleShooting
4108,"
							Media keys not working (it's not Chrome)
							
						",TroubleShooting
4109,"
							Wrong track lenght
							
						",TroubleShooting
4110,"
							Spotamb 0.2.1 stops music
							
						",TroubleShooting
4111,"
							Synced songs
							
						",TroubleShooting
4112,"
							All Local Files have the same album art
							
						",TroubleShooting
4113,"
							Icon?
							
						",TroubleShooting
4114,"
							Best of DBZ Vol 3 Not Available?
							
						",TroubleShooting
4115,"
							Spotify muting and playing different songs randoml...
							
						",TroubleShooting
4116,"
							Why is Spotify.exe changed to Spotify.ink (microso...
							
						",TroubleShooting
4117,"
							Problema reproducir windows 10
							
						",TroubleShooting
4118,"
							Spotify web don't load
							
						",TroubleShooting
4119,"
							After a local Mp3 track has played the online trac...
							
						",TroubleShooting
4120,"
							Daily Mix not refreshing?
							
						",TroubleShooting
4121,"
							I can't login and use Spotify.
							
						",TroubleShooting
4122,"
							Can't open it
							
						",TroubleShooting
4123,"
							Dektop App is quiter then Webplayer
							
						",TroubleShooting
4124,"
							Web Player not loading playlist
							
						",TroubleShooting
4125,"
							How to go Offline on Desktop App?
							
						",TroubleShooting
4126,"
							Spotify at work
							
						",TroubleShooting
4127,"
							cant change playlist cover
							
						",TroubleShooting
4128,"
							My Downloaded Playlists and Songs Got Undownloaded...
							
						",TroubleShooting
4129,"
							PC Spotify App Won't Play Certain Podcasts
							
						",TroubleShooting
4130,"
							Spotify Continues to Play After It's Paused
							
						",TroubleShooting
4131,"
							Media Keys Don't Work Sometimes
							
						",TroubleShooting
4132,"
							No sound from desktop app
							
						",TroubleShooting
4133,"
							Go to Artist Radio Error
							
						",TroubleShooting
4134,"
							First song on spotify
							
						",TroubleShooting
4135,"
							Chromecast Audio for Win 10 Desktop Spot App
							
						",TroubleShooting
4136,"
							spotify on Windows is just a white screen
							
						",TroubleShooting
4137,"
							Won't stop shuffling
							
						",TroubleShooting
4138,"
							I can no longer see what my friends are listening ...
							
						",TroubleShooting
4139,"
							Unwanted items
							
						",TroubleShooting
4140,"
							I accidentally deleted a song.
							
						",TroubleShooting
4141,"
							Muffled Audio when switching to other App
							
						",TroubleShooting
4142,"
							Postre
							
						",TroubleShooting
4143,"
							COUNTRY CHANGE
							
						",TroubleShooting
4144,"
							Maximum volume too low
							
						",TroubleShooting
4145,"
							Playback is in wrong order after sorting ""See all ...
							
						",TroubleShooting
4146,"
							WHERE DID THE FILES LAND ??
							
						",TroubleShooting
4147,"
							Spotify stops playing after two tunes
							
						",TroubleShooting
4148,"
							Changing primary device/ Usernames
							
						",TroubleShooting
4149,"
							Disturbing commercial clash
							
						",TroubleShooting
4150,"
							Media Keys not working
							
						",TroubleShooting
4151,"
							Can't open spotify
							
						",TroubleShooting
4152,"
							Friend Feed gone
							
						",TroubleShooting
4153,"
							Lost my Login/email
							
						",TroubleShooting
4154,"
							Why is this still not fixed? Spotify keeps auto-st...
							
						",TroubleShooting
4155,"
							Where to find downloaded music?
							
						",TroubleShooting
4156,"
							Can't read anysong
							
						",TroubleShooting
4157,"
							spotify  sur window's
							
						",TroubleShooting
4158,"
							[Win10] Spotify not closing and taking up huge amo...
							
						",TroubleShooting
4159,"
							Spotify Premium Deskptop x Mobile
							
						",TroubleShooting
4160,"
							Start Spotify as a specific user from command line
							
						",TroubleShooting
4161,"
							Why i can't search and view my profile?
							
						",TroubleShooting
4162,"
							Windows 10 music control, song is not changing if ...
							
						",TroubleShooting
4163,"
							Windows 7 - spotifu is uninstaling themself after ...
							
						",TroubleShooting
4164,"
							Album Art gets stuck on specific tracks
							
						",TroubleShooting
4165,"
							Autoscroll in podcast episode textbox
							
						",TroubleShooting
4166,"
							Can't save albums/new songs to my library
							
						",TroubleShooting
4167,"
							Spotify Pc automatically changes to Spotify window...
							
						",TroubleShooting
4168,"
							[Connect] Sonos devices disappear and don't get re...
							
						",TroubleShooting
4169,"
							Certain songs in albums are ""not available"" when t...
							
						",TroubleShooting
4170,"
							Is there a way to revert to an older spotify versi...
							
						",TroubleShooting
4171,"
							preview_url only has 30 seconds and i can not  pla...
							
						",TroubleShooting
4172,"
							Windows 10 Perfomance Issues
							
						",TroubleShooting
4173,"
							Syncing between Mobile and Desktop doesnt work
							
						",TroubleShooting
4174,"
							Music stops playing after 5 seconds
							
						",TroubleShooting
4175,"
							I can simultaneously playing diferent songs on PC ...
							
						",TroubleShooting
4176,"
							Interesting Bug
							
						",TroubleShooting
4177,"
							[Desktop] Clicking on album art highlights wrong s...
							
						",TroubleShooting
4178,"
							Login error in Spotify
							
						",TroubleShooting
4179,"
							Liked Songs Disappeared
							
						",TroubleShooting
4180,"
							HIGH CPU Usage on Windows Desktop
							
						",TroubleShooting
4181,"
							Black screen when opening Spotify
							
						",TroubleShooting
4182,"
							How to uninstall spotify completely
							
						",TroubleShooting
4183,"
							Need sort library playlists by artists
							
						",TroubleShooting
4184,"
							Nothing works on Spotify besides Discover Weekly
							
						",TroubleShooting
4185,"
							Local File's Cover Art ignored when it contains an...
							
						",TroubleShooting
4186,"
							Spotify Connect is stuck
							
						",TroubleShooting
4187,"
							Hear a new song while playlist is running
							
						",TroubleShooting
4188,"
							Song won't play depending on how it is referenced
							
						",TroubleShooting
4189,"
							Spotify Issue
							
						",TroubleShooting
4190,"
							Is Spotify limiting song volume?
							
						",TroubleShooting
4191,"
							Connection between Iphone and windows
							
						",TroubleShooting
4192,"
							Spotify opening on startup
							
						",TroubleShooting
4193,"
							I Can't Play Downloaded Songs
							
						",TroubleShooting
4194,"
							black screen
							
						",TroubleShooting
4195,"
							Songs added to Local files don't show up
							
						",TroubleShooting
4196,"
							Logo of the music/playlist disappeared
							
						",TroubleShooting
4197,"
							SSL Proxy
							
						",TroubleShooting
4198,"
							Spotify randomizes media origins of registered loc...
							
						",TroubleShooting
4199,"
							Desktop Spotify can't play any songs (mobile works...
							
						",TroubleShooting
4200,"
							Spotify no autoplay option in the settings
							
						",TroubleShooting
4201,"
							Search stops working
							
						",TroubleShooting
4202,"
							Problem to download Spotify music offline
							
						",TroubleShooting
4203,"
							Where the songs are downloaded?
							
						",TroubleShooting
4204,"
							Spotify offline despite working wifi connection
							
						",TroubleShooting
4205,"
							Spotify desktop windows does not respond when open...
							
						",TroubleShooting
4206,"
							Spotify is different in both accounts
							
						",TroubleShooting
4207,"
							Not all files show up in Local Files
							
						",TroubleShooting
4208,"
							Playing music on the installed Spotify app crashes...
							
						",TroubleShooting
4209,"
							Start Spotify NOT in Browse/Discover?
							
						",TroubleShooting
4210,"
							Band had Related Artists, and suddenly the tab and...
							
						",TroubleShooting
4211,"
							Discover weekly does not refresh without restart
							
						",TroubleShooting
4212,"
							Spotify doesn't play selected song, but instead th...
							
						",TroubleShooting
4213,"
							Please bring back the old activity feed
							
						",TroubleShooting
4214,"
							Error Code 57
							
						",TroubleShooting
4215,"
							Disable Explicit Songs?
							
						",TroubleShooting
4216,"
							Streaming to Echo Stereo Pair
							
						",TroubleShooting
4217,"
							Installation location spotify
							
						",TroubleShooting
4218,"
							I can't listen to songs outside of my playlist.
							
						",TroubleShooting
4219,"
							Spotify not saving current song/settings after shu...
							
						",TroubleShooting
4220,"
							Sorting for audiodramas in podcasts?
							
						",TroubleShooting
4221,"
							Incorrect labeling of explicit songs
							
						",TroubleShooting
4222,"
							Delete
							
						",TroubleShooting
4223,"
							Crackling, shuttering, distortion noises during pl...
							
						",TroubleShooting
4224,"
							Spotify doesn't find a real internet connection. (...
							
						",TroubleShooting
4225,"
							Sorting algorithm fault an inconsistent between de...
							
						",TroubleShooting
4226,"
							""Esta Canci??n no est?? disponible"" - En casi todas ...
							
						",TroubleShooting
4227,"
							Spotify Downloaded player not playing songs
							
						",TroubleShooting
4228,"
							Does making a playlist secret mean my friends who ...
							
						",TroubleShooting
4229,"
							Can't see button to download songs for offline lis...
							
						",TroubleShooting
4230,"
							Playlist don't show up when trying to add a song
							
						",TroubleShooting
4231,"
							Spotify still wont play some songs.
							
						",TroubleShooting
4232,"
							How do I block Korn from playing?
							
						",TroubleShooting
4233,"
							Cortana does not play when I tell her to
							
						",TroubleShooting
4234,"
							How to stop Christmas ""effects""?
							
						",TroubleShooting
4235,"
							Accidentally Deleted playlist folder
							
						",TroubleShooting
4236,"
							Spotify loses connection after waking computer fro...
							
						",TroubleShooting
4237,"
							How to disable the Tray Icon notification each tim...
							
						",TroubleShooting
4238,"
							Spotify Connect - Multiple Speakers/Devices
							
						",TroubleShooting
4239,"
							Corsair K70 Multimedia Keys
							
						",TroubleShooting
4240,"
							Song list (full) disappeared
							
						",TroubleShooting
4241,"
							Progress Bar not responding
							
						",TroubleShooting
4242,"
							When I search for songs, they don't come up in row...
							
						",TroubleShooting
4243,"
							Spotify Modifies Some Local Files Information When...
							
						",TroubleShooting
4244,"
							search results have been limited
							
						",TroubleShooting
4245,"
							strem vs. downloaded files
							
						",TroubleShooting
4246,"
							show desktop overlay when using media key option
							
						",TroubleShooting
4247,"
							Having issues with Spotify.
							
						",TroubleShooting
4248,"
							Spotify installation problem
							
						",TroubleShooting
4249,"
							Neither Desktop not Mobile app will allow me to Li...
							
						",TroubleShooting
4250,"
							Spotify don't open
							
						",TroubleShooting
4251,"
							Album is on your service but music is greyed out
							
						",TroubleShooting
4252,"
							quick question
							
						",TroubleShooting
4253,"
							Can't see my custom playlist art :(
							
						",TroubleShooting
4254,"
							Local Files turn off everytime I turn on Spotify
							
						",TroubleShooting
4255,"
							Spotify Connect cannot handle >100 playlists.
							
						",TroubleShooting
4256,"
							Is 'Genre Listing' for public playlists absolutely...
							
						",TroubleShooting
4257,"
							Volume bar larger in Desktop app
							
						",TroubleShooting
4258,"
							Spotify mutes itself during teams meeting
							
						",TroubleShooting
4259,"
							spotify stops playing
							
						",TroubleShooting
4260,"
							Local file album names being changed automatically
							
						",TroubleShooting
4261,"
							Songs starting at 0:20-1:00
							
						",TroubleShooting
4262,"
							Can't play songs from laptop.
							
						",TroubleShooting
4263,"
							Starts playing 30 sec into song
							
						",TroubleShooting
4264,"
							Spotify first run, keeps loading
							
						",TroubleShooting
4265,"
							Can't download playlist to Win 10
							
						",TroubleShooting
4266,"
							Is Spotify a malware or no?
							
						",TroubleShooting
4267,"
							Change Date Added?
							
						",TroubleShooting
4268,"
							Liked songs page not showing liked songs
							
						",TroubleShooting
4269,"
							Showing order of playlists
							
						",TroubleShooting
4270,"
							[All Devices] Playlist Issues
							
						",TroubleShooting
4271,"
							I want to see the 2019 story you made for me on my...
							
						",TroubleShooting
4272,"
							Spotify keeps pausing
							
						",TroubleShooting
4273,"
							Multiple Errors
							
						",TroubleShooting
4274,"
							Windows 10 - Spotify stops playing when Screen tur...
							
						",TroubleShooting
4275,"
							Removing Local Files from Song Library
							
						",TroubleShooting
4276,"
							[desktop] reducing the size of the thumbnails whil...
							
						",TroubleShooting
4277,"
							[Web Player] on Win10 with Chrome not working
							
						",TroubleShooting
4278,"
							Spotify stops playing randomly on PC
							
						",TroubleShooting
4279,"
							Spotify PC can't play or show songs that are not s...
							
						",TroubleShooting
4280,"
							Automatic upstart Spotify
							
						",TroubleShooting
4281,"
							Volume control does not activate on mouse down
							
						",TroubleShooting
4282,"
							Spotify stops scrobbling and disconnects after lap...
							
						",TroubleShooting
4283,"
							Ability to Delete Radio Stations
							
						",TroubleShooting
4284,"
							Premium stream only 192 kbps
							
						",TroubleShooting
4285,"
							[Desktop] Spotify is becoming worse and worse ever...
							
						",TroubleShooting
4286,"
							Cant play music or see playlists
							
						",TroubleShooting
4287,"
							Desktop-Overlay permanently
							
						",TroubleShooting
4288,"
							Waiting for users, message on spotify connect devi...
							
						",TroubleShooting
4289,"
							Local Files played instead of Spotify Catalogue
							
						",TroubleShooting
4290,"
							Lost Profile and Playlist
							
						",TroubleShooting
4291,"
							Some albums and titles are showing with Asiatic le...
							
						",TroubleShooting
4292,"
							spotify desktop app vs sophos utm9 proxy
							
						",TroubleShooting
4293,"
							Issues with Release Radar and Discovery Weekly on ...
							
						",TroubleShooting
4294,"
							Album doesn't play on Desktop, but plays on Smartp...
							
						",TroubleShooting
4295,"
							Artist & Song Radio ""Follow"" removal
							
						",TroubleShooting
4296,"
							Spotify doesn't remember last song i played and de...
							
						",TroubleShooting
4297,"
							Home button disappeared
							
						",TroubleShooting
4298,"
							Daily mix gone?
							
						",TroubleShooting
4299,"
							Repeat more than one song?
							
						",TroubleShooting
4300,"
							spotify won't play after removing headset
							
						",TroubleShooting
4301,"
							Temporary Workaround Solution for Missing Playlist...
							
						",TroubleShooting
4302,"
							Can't play current song error
							
						",TroubleShooting
4303,"
							The block is gone on spotify daily mixes.
							
						",TroubleShooting
4304,"
							Problem with linking Faceb [solved]
							
						",TroubleShooting
4305,"
							Tracks skipping after a few seconds
							
						",TroubleShooting
4306,"
							No Bluetooth support
							
						",TroubleShooting
4307,"
							No me deja ver a mis amigos
							
						",TroubleShooting
4308,"
							i can't find my own profile
							
						",TroubleShooting
4309,"
							Crossfade issue
							
						",TroubleShooting
4310,"
							Spotify plays songs that is not on my playlist
							
						",TroubleShooting
4311,"
							How to set Shuffle as default on SPotify app (Andr...
							
						",TroubleShooting
4312,"
							Unable to prevent Spotify launch at startup no mat...
							
						",TroubleShooting
4313,"
							Blank window - Win7 clean install
							
						",TroubleShooting
4314,"
							Spotify Connect Problem: Default to Random Song or...
							
						",TroubleShooting
4315,"
							Set some songs to only ever play together in seque...
							
						",TroubleShooting
4316,"
							[Discover] New Release Section for Followed Artist...
							
						",TroubleShooting
4317,"
							Spotify can't read any music with or without inter...
							
						",TroubleShooting
4318,"
							Spotify Desktop Black Screen
							
						",TroubleShooting
4319,"
							My playlists are empty but only on this device
							
						",TroubleShooting
4320,"
							Sound quality issue
							
						",TroubleShooting
4321,"
							Can't find Your Daily Mixes on the desktop add
							
						",TroubleShooting
4322,"
							Spotify won't play any song
							
						",TroubleShooting
4323,"
							How to ask for refund
							
						",TroubleShooting
4324,"
							I try logging in, but end up training some ML-mode...
							
						",TroubleShooting
4325,"
							Can't Login to Spotify on Windows 10
							
						",TroubleShooting
4326,"
							cant play any songs on my pc
							
						",TroubleShooting
4327,"
							upload own songs on Spotify ?
							
						",TroubleShooting
4328,"
							Song not work
							
						",TroubleShooting
4329,"
							Number of Ads in Wrong Language
							
						",TroubleShooting
4330,"
							Playlist Desynchronization
							
						",TroubleShooting
4331,"
							Issue while playing song
							
						",TroubleShooting
4332,"
							Local files
							
						",TroubleShooting
4333,"
							Can't add to play list
							
						",TroubleShooting
4334,"
							Can't see favorites
							
						",TroubleShooting
4335,"
							Volume keys not working - Spotify Connect on WiFi ...
							
						",TroubleShooting
4336,"
							does not launch
							
						",TroubleShooting
4337,"
							Lokale Dateien laden nicht auf das Handy
							
						",TroubleShooting
4338,"
							Desktop app opens to a blank window
							
						",TroubleShooting
4339,"
							Song duplicated in queue
							
						",TroubleShooting
4340,"
							Album Won't Play
							
						",TroubleShooting
4341,"
							Problem - spotify ""shuts down"" on sound system but...
							
						",TroubleShooting
4342,"
							Import from iTunes not working
							
						",TroubleShooting
4343,"
							Inconsistent and incomplete recommendation playlis...
							
						",TroubleShooting
4344,"
							Pressing the side button of the mouse to go back w...
							
						",TroubleShooting
4345,"
							Repeat one song
							
						",TroubleShooting
4346,"
							recommended songs
							
						",TroubleShooting
4347,"
							What does the the plus and the tick signs mean on ...
							
						",TroubleShooting
4348,"
							Favourite songs won't update unless deleting cache
							
						",TroubleShooting
4349,"
							Spotify non riproduce pi?? alcun brano
							
						",TroubleShooting
4350,"
							How do I split sessions between desktop and mobile...
							
						",TroubleShooting
4351,"
							Local files won't sync
							
						",TroubleShooting
4352,"
							Only a part of playlists is visible when using Add...
							
						",TroubleShooting
4353,"
							Scrobbling to last.fm stopped working
							
						",TroubleShooting
4354,"
							Cant play certain song issue
							
						",TroubleShooting
4355,"
							People stealing other artists songs.
							
						",TroubleShooting
4356,"
							Error when playing almost any song
							
						",TroubleShooting
4357,"
							New Title Bar
							
						",TroubleShooting
4358,"
							Release Notes - Spotify for Desktop 0.9.12
							
						",TroubleShooting
4359,"
							Local Music Management
							
						",TroubleShooting
4360,"
							Local files aren't appearing on Desktop app
							
						",TroubleShooting
4361,"
							Spotify Desktop dosen't work
							
						",TroubleShooting
4362,"
							Is Discover Weekly discontinued?
							
						",TroubleShooting
4363,"
							'Spotify can't play this right now. If you have th...
							
						",TroubleShooting
4364,"
							My music keeps pausing every 30s
							
						",TroubleShooting
4365,"
							Desktop app to chromecast - How many years do you ...
							
						",TroubleShooting
4366,"
							Downloaded songs and now I can't find them
							
						",TroubleShooting
4367,"
							Desktop Stops Playing When Notifications are Recei...
							
						",TroubleShooting
4368,"
							Spotify stops plaing with an ad
							
						",TroubleShooting
4369,"
							Mediabuttons on keyboard stopped working
							
						",TroubleShooting
4370,"
							One Track suddenly stopped then the Spotify App di...
							
						",TroubleShooting
4371,"
							Can?€?t log into desktop Spotify
							
						",TroubleShooting
4372,"
							[Windows] All songs on the Windows Player are gone
							
						",TroubleShooting
4373,"
							How to make local files be recognized as regular s...
							
						",TroubleShooting
4374,"
							Folders within Album
							
						",TroubleShooting
4375,"
							Pin to taskbar, few days later disappears
							
						",TroubleShooting
4376,"
							Spotify logs me out and deletes my playlists
							
						",TroubleShooting
4377,"
							Can't find edit option on my desktop
							
						",TroubleShooting
4378,"
							Windows Store app crash immediately after login
							
						",TroubleShooting
4379,"
							Win 10 Store App:  Offline Storage Loc Not Saved
							
						",TroubleShooting
4380,"
							Music Totals Discrepancy, Please Help!
							
						",TroubleShooting
4381,"
							Windows XP
							
						",TroubleShooting
4382,"
							Unable to upload profile picture
							
						",TroubleShooting
4383,"
							Problem with local files
							
						",TroubleShooting
4384,"
							**bleep**ed up playback
							
						",TroubleShooting
4385,"
							Unable to select multiple or all songs in playlist
							
						",TroubleShooting
4386,"
							Lost all of my Starred songs
							
						",TroubleShooting
4387,"
							Spotify not loading anything
							
						",TroubleShooting
4388,"
							New update (evident on 27.4.2019) lost ability to ...
							
						",TroubleShooting
4389,"
							It doesn't start after updating
							
						",TroubleShooting
4390,"
							Won't Uninstall
							
						",TroubleShooting
4391,"
							[Troubleshooting] Windows
							
						",TroubleShooting
4392,"
							An error occurred. Please try searching again.
							
						",TroubleShooting
4393,"
							Smartphoneapp not on desktop player
							
						",TroubleShooting
4394,"
							Ad Is Fake and Can't Play Music
							
						",TroubleShooting
4395,"
							a firewall may not let you login update your fire ...
							
						",TroubleShooting
4396,"
							scroll lag only on home tab
							
						",TroubleShooting
4397,"
							Stops playing after playing several tracks
							
						",TroubleShooting
4398,"
							can you download to pc if you join premium
							
						",TroubleShooting
4399,"
							This ad keeps breaking my Spotify
							
						",TroubleShooting
4400,"
							The public playlist I created only shows up on my ...
							
						",TroubleShooting
4401,"
							Local files from PC catalogue suddenly empty, all ...
							
						",TroubleShooting
4402,"
							Windows Spotify Quality decreases minimized or in ...
							
						",TroubleShooting
4403,"
							Why!
							
						",TroubleShooting
4404,"
							Windows 8.1. SpotifySetup.exe does not launch
							
						",TroubleShooting
4405,"
							Song crossfade does not work
							
						",TroubleShooting
4406,"
							Music that I've downloaded onto my device separate...
							
						",TroubleShooting
4407,"
							Wrong current song
							
						",TroubleShooting
4408,"
							Sound quality spotify free unacceptable
							
						",TroubleShooting
4409,"
							No longer downloaded offline albums on Windows
							
						",TroubleShooting
4410,"
							please fix the shuffle problem!!!
							
						",TroubleShooting
4411,"
							Add to queue problem on Windows 7 desktop app
							
						",TroubleShooting
4412,"
							Yellow Text Appearing for Songs Instead of White T...
							
						",TroubleShooting
4413,"
							Re-downloading problem
							
						",TroubleShooting
4414,"
							Songs won't start playing
							
						",TroubleShooting
4415,"
							Local Files not in Shuffle
							
						",TroubleShooting
4416,"
							The last played queue doesn't update between sessi...
							
						",TroubleShooting
4417,"
							Adding friends
							
						",TroubleShooting
4418,"
							Browse page doesn't work
							
						",TroubleShooting
4419,"
							The Mars Volta Viscera Eyes Wrong Version
							
						",TroubleShooting
4420,"
							Have the Music Quality Settings been removed recen...
							
						",TroubleShooting
4421,"
							Master volume varies wildly when starting/ending c...
							
						",TroubleShooting
4422,"
							Can you see who views your Spotify profile?
							
						",TroubleShooting
4423,"
							Update to 1.0.43
							
						",TroubleShooting
4424,"
							Can't delete playlist
							
						",TroubleShooting
4425,"
							Playlist wont' go away
							
						",TroubleShooting
4426,"
							Radio stations have the exact same songs every tim...
							
						",TroubleShooting
4427,"
							Spotify kann dies zurzeit nicht abspielen...
							
						",TroubleShooting
4428,"
							Radio won't work
							
						",TroubleShooting
4429,"
							Weird connection issue
							
						",TroubleShooting
4430,"
							Spotity taskbar icon
							
						",TroubleShooting
